,track_id,track_name,preview_url,artist,label,artist_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,loudness_scaled,tempo_scaled
1029,5YenwJPNMaS5ADo947jGwI,"Who Would Imagine A King - (From ""The Preacher's Wife"") (feat. The Nativity Choir From The Preacher's Wife)",https://p.scdn.co/mp3-preview/72b6c0f833b5ed221113404ef7b67fd4ed9545cf?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.213,0.199,-10.72,0.0334,0.883,0.0,0.175,80.942,0.6207311506701525,0.3909901554454202
1030,6Oo2WKkHQkxTFANWyeAFtn,Joy to the World (with Georgia Mass Choir),https://p.scdn.co/mp3-preview/555f820183af4086065a8c7eca3b4aeeafbeca5b?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.309,0.793,-4.233,0.101,0.412,0.0,0.355,173.055,0.889912444499772,0.8359418021621309
1031,178PUYfr4UqYKOFLpXAfvE,Do You Hear What I Hear?,https://p.scdn.co/mp3-preview/8c1aec3c8c7a82af160f47d9ae2aa91417ed4657?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.316,0.714,-4.981,0.0387,0.00931,0.0,0.306,72.785,0.8588738121913775,0.3515877846370847
1032,4qoRtBttExNQ8eguqiYsRg,One Of Those Days,https://p.scdn.co/mp3-preview/a58f2f5d7dce7eeeac78d3315c3449bb7e2bbe46?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.679,0.708,-3.844,0.0818,0.312,0.0,0.82,91.983,0.9060541931200468,0.44432368199866684
1033,0moOkXr0fXPqaXdr54v4GC,Tell Me No,https://p.scdn.co/mp3-preview/f8a3d60d9faa93d248bf4f18aef73aaad7669c24?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.608,0.77,-5.243,0.046,0.0327,0.0,0.383,88.882,0.8480019917838917,0.42934430822440567
1034,56iThbABo74MrYhudXR8DY,Things You Say,https://p.scdn.co/mp3-preview/b7e36f403b6fb9988d3ecfeb1d54590cf1efe6f6?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.718,0.533,-4.823,0.172,0.321,0.0,0.48,131.275,0.8654301008340597,0.6341236027785024
1035,3aiqh3PTL4cpFSLNt5BDRD,My Love (feat. Bobby Brown),https://p.scdn.co/mp3-preview/1b678c120bc819a99a281a33ce2e3a71611718e2?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.734,0.772,-3.4,0.231,0.109,0.0,0.85,143.742,0.9244781941159387,0.6943454192389067
1036,76XT0z1vuiI6mPknlBgjcI,Love That Man,https://p.scdn.co/mp3-preview/9ea8853401372a9f32bfe29902eeec83d4bea099?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.846,0.81,-3.645,0.0377,0.0358,1.71e-06,0.927,112.009,0.9143117971700073,0.541059231564405
1037,2IpeftovkFwpkWBYuS0qCz,Try It On My Own,https://p.scdn.co/mp3-preview/8c5c38f20d64d81e2e831c9cbfc24259af8bb190?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.544,0.593,-5.887,0.0362,0.612,6.75e-06,0.139,135.877,0.8212788912403006,0.6563535537972545
1038,1yt4kQPgYSWm1ZbBK9GrbW,Dear John Letter,https://p.scdn.co/mp3-preview/c15c0d19629764f275733965a0858d3f2f4e7a0f?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,1,6XpaIBNiVzIetEPCWDvAFP,0.798,0.559,-4.623,0.0575,0.253,0.0,0.694,99.018,0.8737292003817588,0.47830623424050084
