,track_id,track_name,preview_url,artist,label,artist_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,loudness_scaled
2812,0GY4MEgkUjXrqFSPwxyauZ,You Give Good Love - Extended Alternate Dance Version,https://p.scdn.co/mp3-preview/0d1f8d347a568ce0a23f4f97bad000f356e5ea2a?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.551,0.519,-8.406,0.0399,0.778,0.0,0.477,0.7167517324370307
2813,2BmrTfv7o5fMApOtEHWhXX,You Give Good Love,https://p.scdn.co/mp3-preview/7c11bd7b924de58c4c82e7a823b417024e03aed5?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.491,0.514,-7.809,0.04,0.699,0.0,0.491,0.7415245445869125
2814,5GNDlkBSY1USuaAI0AkGxJ,Thinking About You,https://p.scdn.co/mp3-preview/9d2778bf3fa41105d1ead026676abebe8445ad2c?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.858,0.512,-10.643,0.0611,0.23,0.0,0.596,0.6239263039960166
2815,7jdJrdkpvotCxBIcjbpg7d,Someone For Me,https://p.scdn.co/mp3-preview/5d4e003dc0fd6b2b959fc28598185ef6ff7323c0?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.863,0.707,-9.696,0.037,0.0783,0.00307,0.924,0.6632225403543717
2816,2KtQEHv44Y1US0iaJ41pRA,Saving All My Love for You,https://p.scdn.co/mp3-preview/4b004aba2c6e04d3f6f38e113d09c636dd6b1875?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.404,0.379,-8.887,0.0315,0.594,2.77e-05,0.242,0.6967923980248145
2817,7Febrv2oexytTxRChA3jra,Nobody Loves Me Like You Do (with Jermaine Jackson),https://p.scdn.co/mp3-preview/ab484eee29ee3af0b9d738ff679a2048ec0816f3?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.382,0.294,-12.107,0.0306,0.683,2.38e-06,0.117,0.5631768953068594
2818,7mMWGhaIiDmbsGaAAcmwGm,How Will I Know,https://p.scdn.co/mp3-preview/7f9804ed47f4bdeaf4210ae6ca35bf4c08ac7fda?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.844,0.709,-6.801,0.0443,0.204,4.85e-05,0.923,0.7833520063073158
2819,5YHtQaUrOdKHeyDPHvVa6x,All at Once,https://p.scdn.co/mp3-preview/a47ca222f94108a97b731626e808ba4a38ca9b82?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.587,0.46,-11.357,0.0276,0.512,0.0,0.3,0.5942985186107309
2820,6Pu7Figfp6j7nFtOupPDDl,Take Good Care of My Heart (with Jermaine Jackson),https://p.scdn.co/mp3-preview/208e0f853b7d4d553eae16ab9391310d2a27d4f9?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,0,6XpaIBNiVzIetEPCWDvAFP,0.713,0.782,-8.617,0.0378,0.248,0.0,0.834,0.7079961824142083
2821,3yOzDXX8cTz25jid6uKTFD,Greatest Love of All,https://p.scdn.co/mp3-preview/78a30abc9581577055935281ac54105068d683e6?cid=7dcb3f1dc3c6403ca4a0f2c0fe2fee5e,Whitney Houston,2,6XpaIBNiVzIetEPCWDvAFP,0.534,0.399,-10.45,0.0324,0.682,0.0,0.29,0.6319349350595462
