,track_id,track_name,album,artist,artist_id,release_date,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
18,6qEdb6QJrDTtbCGaSEyVYW,I'm Every Woman,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,6qEdb6QJrDTtbCGaSEyVYW,0.726,0.715,-7.073,0.0622,0.00983,0.00132,0.093,0.571,119.496
19,22VVfcgjtL7XTemQcphB9N,How Will I Know,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,22VVfcgjtL7XTemQcphB9N,0.758,0.683,-5.465,0.0399,0.153,1.54e-06,0.242,0.663,119.001
20,0L1Yec6CsI9nuZDfCnlMn2,I Love The Lord,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,0L1Yec6CsI9nuZDfCnlMn2,0.692,0.412,-9.371,0.145,0.53,0.00416,0.37,0.487,130.063
21,1Q6iUBhR1uqoQfd8fzYGal,Don't Cry For Me - Darkchild Film Version,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,1Q6iUBhR1uqoQfd8fzYGal,0.484,0.287,-9.317,0.0294,0.0638,7.08e-06,0.119,0.131,124.013
22,7bCKWcPgXeTh1wVA0gUKBA,Honest (Heartbreak Hotel),"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,7bCKWcPgXeTh1wVA0gUKBA,0.779,0.431,-9.535,0.0698,0.343,3.15e-06,0.0465,0.71,133.775
23,5xbqHSiuSYrYMNE92JjNhS,Okay (It's Not Right),"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,5xbqHSiuSYrYMNE92JjNhS,0.834,0.6,-8.876,0.121,0.0531,0.00051,0.0726,0.54,115.967
24,2BpkPTOmDF3DSEyPD83YYz,You'll Never Stand Alone - Moto Blanco Remix,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,2BpkPTOmDF3DSEyPD83YYz,0.737,0.818,-7.307,0.0477,0.00894,6.24e-06,0.327,0.754,124.032
25,08Dk00t5EmgP1xrvrzj8CI,Love Will Save the Day - MATVEÏ Remix,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,08Dk00t5EmgP1xrvrzj8CI,0.683,0.738,-11.222,0.0463,0.00305,0.00129,0.0528,0.763,121.062
26,0ZbD82Oti96RcoQWlOW6Zs,Tomorrow,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,0ZbD82Oti96RcoQWlOW6Zs,0.524,0.199,-13.841,0.0298,0.829,0,0.0934,0.605,106.876
27,5ZJlQT4aKghvcgpeBY7KpA,Home - Live from The Merv Griffin Show,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,5ZJlQT4aKghvcgpeBY7KpA,0.496,0.409,-9.101,0.0488,0.733,0.00486,0.696,0.361,130.975
28,7JLzcSyFVzqX5vxUdMfDvm,You Give Good Love,"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)",Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,2022-12-16,7JLzcSyFVzqX5vxUdMfDvm,0.429,0.485,-8.958,0.044,0.718,0,0.0764,0.453,74.628
